"","k1m","k2m","k3m"
"num_lanes_in",3.48,2.57,2.6
"num_lanes_out",3.42,2.43,2.6
"all_day_traffic_in",35567.9,21445.71,19167
"all_day_traffic_out",34123.06,19011.29,16181.2
"traffic_per_lane_in",10729.75,9571.76,7506.17
"traffic_per_lane_out",10249.25,8859.61,6650.73
"mor_speed_day_in",1.1,1.05,1.16
"mor_speed_day_out",1.19,1.02,1.17
"dt_speed_day_in",0.99,1.05,0.98
"dt_speed_day_out",1,1,0.99
"aft_speed_day_in",0.88,0.82,0.85
"aft_speed_day_out",0.8,0.94,0.85
"peak_traffic_day_in",0.06,0.08,0.06
"peak_traffic_day_out",0.06,0.07,0.06
"day_time_day_in",0.64,0.71,0.64
"day_time_day_out",0.63,0.69,0.63
"weekend_day_in",0.8,1.43,2.55
"weekend_day_out",0.8,1.5,3.03
