"","k1m","k2m","k3m","k4m"
"num_lanes_in",4.33,2.8,2.57,3.18
"num_lanes_out",4.22,2.6,2.43,3.24
"all_day_traffic_in",34987.89,20085,21445.71,40158.76
"all_day_traffic_out",37091.11,16838.8,19011.29,37441.94
"traffic_per_lane_in",8335.59,7382.02,9571.76,13018.39
"traffic_per_lane_out",9004.33,6731.52,8859.61,11919.2
"mor_speed_day_in",1.21,1.14,1.05,1.05
"mor_speed_day_out",1.22,1.19,1.02,1.17
"dt_speed_day_in",0.98,0.96,1.05,1
"dt_speed_day_out",0.95,0.99,1,1.03
"aft_speed_day_in",0.82,0.88,0.82,0.9
"aft_speed_day_out",0.81,0.84,0.94,0.79
"peak_traffic_day_in",0.06,0.06,0.08,0.06
"peak_traffic_day_out",0.06,0.06,0.07,0.06
"day_time_day_in",0.64,0.64,0.71,0.64
"day_time_day_out",0.65,0.63,0.69,0.61
"weekend_day_in",0.83,1.88,1.43,0.66
"weekend_day_out",0.78,2.16,1.5,0.67
