"","ADDR","HOUSEHOLD","POPULATION"
"1","종로구",73091,163521
"2","중구",59368,132838
"3","용산구",106603,243406
"4","성동구",131474,311831
"5","광진구",159375,371728
"6","동대문구",159826,368050
"7","중랑구",178185,414783
"8","성북구",188100,459276
"9","강북구",141999,330004
"10","도봉구",136852,347941
"11","노원구",219460,566411
"12","은평구",201971,492835
"13","서대문구",137413,326412
"14","마포구",169407,388574
"15","양천구",176861,478119
"16","강서구",250708,606823
"17","구로구",172050,445770
"18","금천구",105628,254711
"19","영등포구",166252,402967
"20","동작구",172966,411217
"21","관악구",254395,523859
"22","서초구",173417,447936
"23","강남구",233943,568425
"24","송파구",261155,667898
"25","강동구",180434,453060
